Label,Time,XPos,YPos,ZPos,XRot,YRot,ZRot
Head,59.28,0.008782328,1.600186,-7.835671,15.16737,343.8506,353.7061
Head,59.5,0.004700362,1.598214,-7.83436,15.69561,343.0579,352.8339
Head,59.74,0.006079733,1.599191,-7.834097,14.89785,344.0113,353.8224
Head,59.96,0.008630514,1.600842,-7.836487,14.18718,345.6373,355.8388
Head,60.2,0.0137828,1.601445,-7.838081,15.69901,345.0526,356.9448
Head,60.42,0.01867774,1.600478,-7.839954,16.55581,346.0073,356.7715
Head,60.66,0.02274767,1.603966,-7.841214,14.74428,346.4612,357.0168
Head,60.88,0.02818343,1.609256,-7.84341,12.14546,347.7116,357.6801
Head,61.12,0.026068,1.60706,-7.846849,14.18691,346.6329,357.8476
Head,61.34,0.02234551,1.605907,-7.845496,14.68875,345.7401,357.9638
Head,61.58,0.02190158,1.607788,-7.846801,14.20862,345.6712,358.3742
Head,61.8,0.02032071,1.610545,-7.852594,13.92243,345.6192,358.6952
Head,62.04,0.02159688,1.612537,-7.857863,13.92573,346.4075,358.0056
Head,62.26,0.01923716,1.614897,-7.865895,14.54172,345.8716,357.394
Head,62.5,0.01872817,1.620991,-7.874959,12.99186,347.2033,357.9945
Head,62.72,0.02088872,1.62744,-7.884696,12.52308,349.3551,355.9404
Head,62.94,0.0265798,1.627518,-7.89195,15.17357,353.3029,352.8523
Head,63.18,0.02506307,1.622871,-7.893724,21.45566,351.3619,352.2306
Head,63.4,0.01206297,1.610869,-7.865781,41.33103,347.1972,350.813
Head,63.64,-0.007172613,1.575907,-7.80569,65.76437,327.471,335.9356
Head,63.88,-0.02131706,1.514704,-7.773878,71.35355,301.5087,311.945
Head,64.1,-0.02499568,1.482047,-7.78639,66.22637,315.4629,324.8866
Head,64.32,-0.03018004,1.451792,-7.802316,62.24909,322.0928,328.4568
Head,64.56,-0.03353682,1.409679,-7.801805,56.14806,340.3765,340.8851
Head,64.78,-0.0361487,1.375999,-7.799901,52.34035,336.8629,332.7889
Head,65,-0.02604413,1.364604,-7.805639,52.98915,341.8082,341.0062
Head,65.24,-0.02364907,1.330811,-7.812392,49.41172,332.8409,327.6971
Head,65.46,-0.01533344,1.289748,-7.817201,47.92467,331.4189,322.6708
Head,65.7,-0.0380581,1.260153,-7.83216,46.69814,328.3075,307.5782
Head,65.92,-0.04083776,1.251432,-7.827021,42.69905,320.938,307.1879
Head,66.16,-0.02676809,1.247082,-7.819339,43.90518,320.6958,316.1529
Head,66.38,-0.02060771,1.247721,-7.824748,49.33996,312.0248,318.7038
Head,66.62,-0.0134846,1.242948,-7.831019,47.51365,296.6346,315.6641
Head,66.84,-0.0109269,1.245952,-7.843086,49.27359,306.1933,316.684
